Superfighters Deluxe,"November 29th, 2018 (10 months ago)",Rated: 96 / 100,PC (Microsoft Windows)
Ashen,"December 6th, 2018 (10 months ago)",Rated: 98 / 100,Xbox One / PC (Microsoft Windows) / Nintendo Switch
God of War,"April 19th, 2018 (a year ago)",Rated: 95 / 100,PlayStation 4
The Room: Old Sins,"January 24th, 2018 (2 years ago)",Rated: 96 / 100,Android / iOS
Just Shapes & Beats,"May 30th, 2018 (a year ago)",Rated: 97 / 100,Mac / Linux / PC (Microsoft Windows) / Nintendo Switch
NAIRI: Tower of Shirin,"November 28th, 2018 (10 months ago)",Rated: 97 / 100,PC (Microsoft Windows) / Nintendo Switch
WildCraft: Wild Sim Online,"February 13th, 2018 (2 years ago)",Rated: 100 / 100,iOS
Judgment,"December 12th, 2018 (10 months ago)",Rated: 95 / 100,PlayStation 4
Hollow Knight: Voidheart Edition,"September 24th, 2018 (a year ago)",Rated: 99 / 100,PlayStation 4 / Xbox One
Rolling Gunner,"August 9th, 2018 (a year ago)",Rated: 98 / 100,PC (Microsoft Windows) / Nintendo Switch
Red Dead Redemption 2,"October 25th, 2018 (a year ago)",Rated: 93 / 100,PlayStation 4 / Xbox One
The Banner Saga 3,"July 25th, 2018 (a year ago)",Rated: 94 / 100,Mac / Android / iOS / PlayStation 4 / Xbox One / PC (Microsoft Windows) / Nintendo Switch
Age of Empires: Definitive Edition,"February 19th, 2018 (2 years ago)",Rated: 94 / 100,PC (Microsoft Windows)
Neonwall,"March 14th, 2018 (2 years ago)",Rated: 95 / 100,PlayStation 4 / Xbox One / PC (Microsoft Windows) / PlayStation VR / Oculus VR / Windows Mixed Reality / Nintendo Switch
Samurai Aces for Nintendo Switch,"February 14th, 2018 (2 years ago)",Rated: 93 / 100,Nintendo Switch
My Grandfather's Farm,"August 29th, 2018 (a year ago)",Rated: 95 / 100,PC (Microsoft Windows)
ASTRO BOT: Rescue Mission,"October 1st, 2018 (a year ago)",Rated: 94 / 100,PlayStation VR
Capcom Beat 'Em Up Bundle,"September 17th, 2018 (a year ago)",Rated: 93 / 100,PlayStation 4 / Xbox One / PC (Microsoft Windows) / Nintendo Switch
WORLD OF FINAL FANTASY MAXIMA,"November 5th, 2018 (a year ago)",Rated: 93 / 100,PlayStation 4 / Xbox One / PC (Microsoft Windows) / Nintendo Switch
Sundered: Eldritch Edition,"December 20th, 2018 (9 months ago)",Rated: 95 / 100,Nintendo Switch
ATOM RPG,"December 18th, 2018 (9 months ago)",Rated: 91 / 100,Mac / Linux / PC (Microsoft Windows)
CrossCode,"September 19th, 2018 (a year ago)",Rated: 90 / 100,Mac / PlayStation 4 / Xbox One / Linux / PC (Microsoft Windows) / Nintendo Switch
Dragon Quest Builders 2,"December 19th, 2018 (9 months ago)",Rated: 92 / 100,PlayStation 4 / Nintendo Switch
Super Smash Bros. Ultimate,"December 6th, 2018 (10 months ago)",Rated: 90 / 100,Nintendo Switch
Mario & Luigi: Bowser's Inside Story + Bowser Jr's Journey,"December 26th, 2018 (9 months ago)",Rated: 93 / 100,Nintendo 3DS
Chameleon Run Deluxe Edition,"June 13th, 2018 (a year ago)",Rated: 93 / 100,Nintendo Switch
Mario + Rabbids Kingdom Battle: Donkey Kong Adventure,"June 25th, 2018 (a year ago)",Rated: 93 / 100,Nintendo Switch
Xenoblade Chronicles 2: Torna - The Golden Country,"September 13th, 2018 (a year ago)",Rated: 90 / 100,Nintendo Switch
Splatoon 2: Octo Expansion,"June 12th, 2018 (a year ago)",Rated: 90 / 100,Nintendo Switch
Deltarune,"October 30th, 2018 (a year ago)",Rated: 90 / 100,Mac / PlayStation 4 / PC (Microsoft Windows) / Nintendo Switch
Car vs Cops,"March 8th, 2018 (2 years ago)",Rated: 90 / 100,iOS
The Long Journey: Adventure,"January 30th, 2018 (2 years ago)",Rated: 90 / 100,iOS
KleptoCats 2,"March 11th, 2018 (2 years ago)",Rated: 90 / 100,iOS
Blast Valley,"March 8th, 2018 (2 years ago)",Rated: 90 / 100,iOS
Shopping Mall Parking Lot,"March 15th, 2018 (2 years ago)",Rated: 90 / 100,iOS
Mark of the Ninja Remastered,"October 8th, 2018 (a year ago)",Rated: 90 / 100,Mac / SteamOS / PlayStation 4 / Xbox One / Linux / PC (Microsoft Windows) / Nintendo Switch
Pong Pong Egg,"March 19th, 2018 (2 years ago)",Rated: 90 / 100,iOS
Pacific Rim: Breach Wars,"March 20th, 2018 (2 years ago)",Rated: 90 / 100,iOS
NASCAR Rush,"February 12th, 2018 (2 years ago)",Rated: 90 / 100,iOS
Toy Puzzle,"January 11th, 2018 (2 years ago)",Rated: 90 / 100,iOS
My Tamagotchi Forever,"March 13th, 2018 (2 years ago)",Rated: 90 / 100,iOS
Marshawn Lynch Pro Football,"January 24th, 2018 (2 years ago)",Rated: 90 / 100,iOS
Mahjong Solitaire: Classic,"January 4th, 2018 (2 years ago)",Rated: 90 / 100,iOS
Fluffy Fall,"January 9th, 2018 (2 years ago)",Rated: 90 / 100,iOS
Plug for Terraria,"January 6th, 2018 (2 years ago)",Rated: 90 / 100,iOS
Cubor,"February 13th, 2018 (2 years ago)",Rated: 90 / 100,iOS
Balls Race,"January 2nd, 2018 (2 years ago)",Rated: 90 / 100,iOS
Rogue Hearts,"February 17th, 2018 (2 years ago)",Rated: 90 / 100,iOS
Color by Number - Puzzle,"February 28th, 2018 (2 years ago)",Rated: 90 / 100,iOS
Sloper,"February 4th, 2018 (2 years ago)",Rated: 90 / 100,iOS
Word Cross Puzzle,"January 4th, 2018 (2 years ago)",Rated: 90 / 100,iOS
WordCookies Cross,"January 11th, 2018 (2 years ago)",Rated: 90 / 100,iOS
Gaydorado,"February 4th, 2018 (2 years ago)",Rated: 90 / 100,iOS
ColorZ - 3D Pixel Art,"February 1st, 2018 (2 years ago)",Rated: 90 / 100,iOS
Ink or Swim,"February 6th, 2018 (2 years ago)",Rated: 90 / 100,iOS
Finger Driver,"January 9th, 2018 (2 years ago)",Rated: 90 / 100,iOS
Steredenn: Binary Stars,"March 7th, 2018 (2 years ago)",Rated: 90 / 100,Nintendo Switch
Antihero - Digital Board Game,"January 1st, 2018 (2 years ago)",Rated: 90 / 100,iOS
Flip the Gun - Simulator Game,"March 20th, 2018 (2 years ago)",Rated: 90 / 100,iOS
SEGA AGES Phantasy Star,"October 30th, 2018 (a year ago)",Rated: 90 / 100,Nintendo Switch
The Sims Mobile,"March 5th, 2018 (2 years ago)",Rated: 90 / 100,Android / iOS
Tekken Mobile,"January 31st, 2018 (2 years ago)",Rated: 90 / 100,Android / iOS
Layers of Fear: Legacy,"February 20th, 2018 (2 years ago)",Rated: 90 / 100,Nintendo Switch
Detective Pikachu,"March 22nd, 2018 (2 years ago)",Rated: 90 / 100,Nintendo 3DS
Beholder: Complete Edition,"January 15th, 2018 (2 years ago)",Rated: 90 / 100,PlayStation 4 / Xbox One / Nintendo Switch
World of Warships Blitz,"January 16th, 2018 (2 years ago)",Rated: 90 / 100,iOS
Steredenn: Binary Stars,"March 7th, 2018 (2 years ago)",Rated: 90 / 100,Nintendo Switch
Cytus II,"January 16th, 2018 (2 years ago)",Rated: 90 / 100,iOS
PixelJunk Monsters 2,"May 24th, 2018 (a year ago)",Rated: 90 / 100,PlayStation 4 / PC (Microsoft Windows) / Nintendo Switch
SEGA AGES Phantasy Star,"October 30th, 2018 (a year ago)",Rated: 90 / 100,Nintendo Switch
The Sims Mobile,"March 5th, 2018 (2 years ago)",Rated: 90 / 100,Android / iOS
Beast Quest,"March 12th, 2018 (2 years ago)",Rated: 90 / 100,PlayStation 4 / Xbox One / PC (Microsoft Windows)
Tekken Mobile,"January 31st, 2018 (2 years ago)",Rated: 90 / 100,Android / iOS
Beholder: Complete Edition,"January 15th, 2018 (2 years ago)",Rated: 90 / 100,PlayStation 4 / Xbox One / Nintendo Switch
Disgaea 1 Complete,"July 25th, 2018 (a year ago)",Rated: 90 / 100,PlayStation 4 / Nintendo Switch
ACA NEOGEO POWER SPIKES II,"January 17th, 2018 (2 years ago)",Rated: 90 / 100,Xbox One / Nintendo Switch
Super One More Jump,"January 24th, 2018 (2 years ago)",Rated: 90 / 100,Nintendo Switch
Nintendo Labo: Toy-Con 01 - Variety Kit,"April 26th, 2018 (a year ago)",Rated: 90 / 100,Nintendo Switch
Cytus II,"January 16th, 2018 (2 years ago)",Rated: 90 / 100,iOS
Scribblenauts Mega Pack,"September 17th, 2018 (a year ago)",Rated: 90 / 100,PlayStation 4 / Xbox One / Nintendo Switch
ACA NEOGEO MAGICAL DROP III,"February 21st, 2018 (2 years ago)",Rated: 90 / 100,PlayStation 4 / Xbox One / Nintendo Switch
Shape Escape,"January 30th, 2018 (2 years ago)",Rated: 90 / 100,iOS
Dance School Stories,"February 27th, 2018 (2 years ago)",Rated: 90 / 100,iOS
ACA NEOGEO THE LAST BLADE 2,"February 14th, 2018 (2 years ago)",Rated: 90 / 100,PlayStation 4 / Xbox One / Nintendo Switch
Partymasters - Fun Idle Game,"March 3rd, 2018 (2 years ago)",Rated: 90 / 100,iOS
Donuts Drift,"February 14th, 2018 (2 years ago)",Rated: 90 / 100,iOS
My Little Princess : Wizard,"March 14th, 2018 (2 years ago)",Rated: 90 / 100,iOS
Mowy Lawn,"March 7th, 2018 (2 years ago)",Rated: 90 / 100,iOS
Ball's Journey,"February 18th, 2018 (2 years ago)",Rated: 90 / 100,iOS
_-_,"March 14th, 2018 (2 years ago)",Rated: 90 / 100,iOS
Pachi-Slot Winning Post,"January 18th, 2018 (2 years ago)",Rated: 90 / 100,iOS
Light A Way,"February 6th, 2018 (2 years ago)",Rated: 90 / 100,iOS
Just Jump,"March 13th, 2018 (2 years ago)",Rated: 90 / 100,iOS
Sky Ball,"March 3rd, 2018 (2 years ago)",Rated: 90 / 100,iOS
Sweet Hearts Match 3,"January 30th, 2018 (2 years ago)",Rated: 90 / 100,iOS
Stack & Crack,"January 23rd, 2018 (2 years ago)",Rated: 90 / 100,iOS
.projekt,"March 11th, 2018 (2 years ago)",Rated: 90 / 100,iOS
Will Hero,"March 6th, 2018 (2 years ago)",Rated: 90 / 100,iOS
Cartoon Network Match Land,"March 20th, 2018 (2 years ago)",Rated: 90 / 100,iOS
Rocky Climb,"March 1st, 2018 (2 years ago)",Rated: 90 / 100,iOS
