1,"Red Dead Redemption 2",10,"13,940,203","13,940,203"
2,"Call of Duty: Black Ops IIII",12,"9,317,241","9,317,241"
3,"FIFA 19",14,"9,147,505","9,147,505"
4,"Super Smash Bros.",4,"8,951,009","8,951,009"
5,"Spider-Man",17,"8,757,859","8,757,859"
6,"Mario Kart 8",88,"6,688,249","13,046,117"
7,"God of War",37,"6,153,527","6,153,527"
8,"Red Dead Redemption 2",10,"5,771,147","5,771,147"
9,"Super Mario Party","4,972,711"
10,"Call of Duty: Black Ops IIII",12,"4,850,704","4,850,704"
11,"Monster Hunter: World",49,"4,671,040","4,671,040"
12,"Pokemon: Let's Go, Pikachu!",7,"4,566,580","4,566,580"
13,"Super Mario Odyssey",62,"3,998,578","11,714,226"
14,"Far Cry 5",40,"3,953,687","3,953,687"
15,"The Legend of Zelda: Breath of the Wild",96,"3,387,011","9,460,827"
16,"Assassin's Creed Odyssey",13,"3,176,082","3,176,082"
17,"Splatoon 2",76,"2,932,784","7,037,733"
18,"Pokemon: Let's Go, Eevee!",7,"2,728,386","2,728,386"
19,"NBA 2K19",16,"2,627,728","2,627,728"
20,"Grand Theft Auto V",215,"2,278,958","19,392,497"
21,"Battlefield V",6,"2,224,270","2,224,270"
22,"FIFA 19",14,"2,223,288","2,223,288"
23,"Madden NFL 19",21,"2,214,368","2,214,368"
24,"Spyro Reignited Trilogy",7,"2,172,947","2,172,947"
25,"Kirby",42,"1,992,021","1,992,021"
26,"Minecraft",28,"1,888,081","1,888,081"
27,"Mario Tennis Aces",28,"1,873,240","1,873,240"
28,"Pokemon: Ultra Sun and Ultra Moon",59,"1,842,871","7,151,768"
29,"Forza Horizon 4",13,"1,839,995","1,839,995"
30,"Far Cry 5",40,"1,779,209","1,779,209"
31,"NBA 2K19",16,"1,737,777","1,737,777"
32,"Call of Duty: WWII",61,"1,736,545","13,401,959"
33,"Shadow of the Tomb Raider",16,"1,735,311","1,735,311"
34,"Donkey Kong Country: Tropical Freeze",35,"1,691,822","1,691,822"
35,"FIFA 18",66,"1,690,579","11,798,489"
36,"Detroit: Become Human 
 ",32,"1,572,826","1,572,826"
37,"Battlefield V 
 ",6,"1,547,325","1,547,325"
38,"Madden NFL 19 
 ",21,"1,508,105","1,508,105"
39,"Dragon Ball Fighter Z 
 ",49,"1,456,835","1,456,835"
40,"Assassin's Creed Odyssey 
",13,"1,388,057","1,388,057"
41,"Fallout 76 
Bethesda Softworks,",7,"1,321,887","1,321,887"
42,"Horizon: Zero Dawn 
",96,"1,314,463","5,822,128"
43,"PlayerUnknown's Battlegrounds 
 ",55,"1,235,507","2,167,606"
44,"Crash Bandicoot N. Sane Trilogy 
",79,"1,212,079","4,827,129"
45,"Grand Theft Auto V 
",215,"1,208,157","8,720,682"
46,"Mario + Rabbids Kingdom Battle 
 Strategy",70,"1,202,181","2,592,171"
47,"Shadow of the Colossus 
-",47,"1,197,972","1,197,972"
48," Labo: Toy-Con 01 Variety Kit 
 ",37,"1,122,790","1,122,790"
49,"Crash Bandicoot N. Sane Trilogy 
",27,"1,114,647","1,114,647"
50,"Star Wars Battlefront II  
 ",59,"1,112,996","4,525,671"
51,"PlayStation VR Worlds 
 ",116,"1,074,863","2,162,086"
52,"MLB The Show 18 
 ",40,"1,062,972","1,062,972"
53,"MineCraft 
 ",215,"1,051,943","5,434,577"
54,"Project Octopath Traveler 
",25,"1,018,756","1,018,756"
55,"WWE 2K19 
 ",12,"983,134","983,134"
56,"EA  UFC 3 
 ",48,"969,422","969,422"
57,"Sea of Thieves 
-",41,"961,038","961,038"
58,"Mario Kart 
 ",370,"945,123","15,485,371"
59,"Assassin's Creed Origins 
",62,"931,539","4,063,812"
60,"Fallout 76 
Bethesda Softworks,",7,"931,129","931,129"
61,"Monster Hunter: World 
",49,"927,146","927,146"
62,"Gran Turismo Sport 
 ",63,"894,285","3,770,881"
63,"Ni no Kuni II: Revenant Kingdom 
",41,"892,818","892,818"
64,"1-2-Switch 
 Party",96,"888,949","2,462,974"
65,"Tom Clancy's Rainbow Six: Siege 
 ",161,"864,861","4,358,737"
66,"Captain Toad: Treasure Tracker 
 ",25,"848,254","848,254"
67,"MineCraft 
Sony Computer Entertainment, ",222,"842,119","6,332,936"
68,"The Crew 2 
 ",27,"816,785","816,785"
69,"Need for Speed: Payback 
 ",60,"812,352","2,180,843"
70,"Call of Duty: WWII 
",61,"789,649","6,230,027"
71,"Shadow of the Tomb Raider 
Square Enix-",16,"784,465","784,465"
72,"Resident Evil VII: Biohazard 
",101,"777,738","3,311,900"
73,"Fortnite 
",76,"770,813","888,062"
74,"Just Dance 2019 
 Music",10,"761,638","761,638"
75,"Destiny 2 
",69,"755,874","4,139,803"
76,"FIFA 19 
 ",14,"748,409","748,409"
77,"Astro Bot Rescue Mission 
 ",13,"713,531","713,531"
78,"SoulCalibur VI 
 ",11,"712,769","712,769"
79,"Fortnite 
 ",7,"689,665","689,665"
80,"The Sims 4 
 ",59,"677,466","1,394,853"
81,"Diablo III: Eternal Collection 
Activision",9,"669,773","669,773"
82,"Fortnite 
",76,"668,713","769,347"
83,"Spyro Reignited Trilogy 
",7,"654,730","654,730"
84,"Crash Bandicoot N.Sane Trilogy 
",27,"650,979","650,979"
85,"NBA 2K18 
 ",68,"636,932","3,340,514"
86,"LEGO The Incredibles 
",29,"630,833","630,833"
87,"The Last of Us 
Sony Computer Entertainment-",231,"629,678","6,773,713"
88,"Dragon Quest XI 
Square Enix,",75,"620,347","2,036,028"
89,"Overwatch 
",136,"619,118","4,536,011"
90,"Pokken Tournament 
 ",67,"605,114","1,707,593"
91,"LEGO Marvel Super Heroes 2 
",59,"604,635","1,113,723"
92,"Xenoblade Chronicles 2 
",57,"602,633","1,404,928"
93,"Kingdom Hearts 1.5 + 2.5 Remix 
Square Enix,",95,"601,873","1,750,665"
94,"The Elder Scrolls V: Skyrim 
Bethesda Softworks,",59,"593,024","1,153,690"
95,"Rocket League 
",132,"584,344","2,017,745"
96,"Farming Simulator 19 
Focus Home Interactive, ",6,"583,425","583,425"
97,"Bayonetta 2 
",46,"573,643","573,643"
98,"Fallout 4 
Bethesda Softworks,",164,"568,545","8,480,129"
99,"Starlink: Battle for Atlas 
",11,"567,755","567,755"
100,"Assassin's Creed Origins 
",62,"560,485","2,474,124"
